|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
||2005|412020.0|188300.0|216870.0|0.0|2000060.0|
||2006|433128.0|95169.0|192171.0|0.0|1885274.0|
||2007|440589.0|183665.0|188184.0|0.0|1832552.0|
||2008|452818.0|183320.0|195101.0|0.0|1808390.0|
||2009|476283.0|201935.0|188272.0|0.0|1769224.0|
||2010|494799.0|204924.0|201700.0|0.0|1893986.0|
||2011|508026.0|169590.0|207112.0|0.0|1739269.0|
||2012|516760.0|165337.0|209874.0|0.0|1856884.0|
||2013|529615.0|207151.0|204382.0|0.0|1846091.0|
||2014|531957.0|219174.0|205293.0|0.0|1887306.0|
||2015|539432.0|206847.0|208621.0|0.0|1924641.0|
||2016|551116.0|190353.0|205862.0|0.0|1960148.0|
||2017|560624.0|158154.0|206272.0|0.0|1963932.0|
||2018|570560.0|149923.0|204307.0|0.0|1990742.0|
||2019|579420.0|146582.0|213454.0|0.0|1985703.0|
||2020|587586.0|135606.0|222588.0|0.0|2026282.0|
||2021|595335.0|133716.0|220890.0|0.0|2072929.0|
|Çankırı-18|2004|35980.0|642480.0|66310.0|0.0|1266760.0|
||2005|36740.0|633610.0|65380.0|0.0|1302080.0|
||2006|37300.0|645687.0|63394.0|0.0|1246264.0|
||2007|22876.0|585998.0|62186.0|0.0|1279489.0|
||2008|23030.0|603531.0|63252.0|0.0|1220776.0|
||2009|22650.0|566834.0|67969.0|0.0|1199554.0|
||2010|22738.0|612891.0|58800.0|0.0|1209464.0|
||2011|23675.0|615316.0|59383.0|0.0|1109164.0|
||2012|24599.0|689585.0|63146.0|0.0|1247690.0|
||2013|24716.0|710708.0|65017.0|0.0|1275696.0|
||2014|24840.0|725719.0|64813.0|0.0|1315682.0|
||2015|24732.0|740662.0|65640.0|0.0|1318978.0|
||2016|24701.0|756268.0|66050.0|0.0|1303163.0|
||2017|13918.0|754837.0|50132.0|0.0|1214218.0|
||2018|13353.0|762402.0|48327.0|0.0|1208223.0|
||2019|12404.0|770208.0|48687.0|0.0|1246027.0|
||2020|12918.0|726399.0|46123.0|0.0|1291015.0|
||2021|13251.0|557377.0|47420.0|0.0|1575735.0|
|Çorum-19|2004|119150.0|1217590.0|120990.0|0.0|4572180.0|
||2005|116410.0|1267660.0|112970.0|0.0|4530480.0|
||2006|115969.0|1255297.0|112250.0|0.0|4388971.0|
||2007|115525.0|1250070.0|108114.0|0.0|4300176.0|
||2008|116519.0|1303870.0|103294.0|0.0|4140200.0|
||2009|113656.0|1601304.0|85803.0|0.0|3824401.0|
||2010|110015.0|2005143.0|87285.0|0.0|3892348.0|
||2011|111690.0|1927261.0|96758.0|0.0|3700609.0|
||2012|105425.0|1968183.0|103872.0|0.0|3462273.0|
||2013|107756.0|1902203.0|82533.0|0.0|3436836.0|
||2014|104736.0|1778864.0|83958.0|0.0|3520740.0|
||2015|96444.0|1862110.0|87353.0|0.0|3480999.0|
||2016|84768.0|1621685.0|97351.0|0.0|3524715.0|
||2017|88859.0|1541801.0|110756.0|0.0|3607766.0|
||2018|91128.0|1437838.0|105207.0|0.0|3582658.0|
||2019|92565.0|1319112.0|118271.0|0.0|3765426.0|
||2020|90169.0|1284805.0|142585.0|0.0|3812929.0|
||2021|96185.0|1222354.0|170025.0|0.0|3923768.0|
|Denizli-20|2004|717110.0|75540.0|159050.0|0.0|2823860.0|
