|||Sütunlar||||||||||||||||||
Satırlar|||||||||||||||||||||
|||||||||||||||||||||
|||01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|01.49.21. (Doğal Bal) ve Ton|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|01.49.26.00.01. (Balmumu, Arı) ve Ton|
||2020|||||||||68.733|355.146||4.125|0.0|3700.0||21.745||0.97|
||2021|||||||||68.73|355.148||4.17|0.0|6097.0||22.245||0.86|
|Konya(Kulu)-1491|2015|3681.706|6818.966|3353.253|||5991.818||181.927||173.988||2.945|0.0|284.0||6.02||0.009|
||2016|3553.77|6670.728|3341.487|||5990.412||181.104||173.502||2.925|0.0|1100.0||12.0||0.012|
||2017|8795.581|8400.176|1970.772|1.284||6064.238|3.914|172.707||181.278|0.217|2.769|0.0|490.0||9.8||0.014|
||2018|9289.555|8170.406|1621.327|0.0|0.0|5536.35|4.125|158.384|0.162|183.112|0.202|2.534|0.0|180.0||3.6||0.005|
||2019|8507.725|7322.977|949.5|10.272|49.092|5353.825|8.145|227.697|6.396|176.752|0.383|3.682|0.0|120.0|2.0|2.0|0.0|0.006|
||2020|||||||||4.836|183.794|0.501|3.074|0.0|242.0||1.85||0.19|
||2021|||||||||4.878|211.123|0.599|3.345|0.0|269.0||2.5||0.12|
|Konya(Meram)-1827|2015|13113.411|8795.478|1794.285|96.3|114.988|5416.331||793.565|19.452|173.706||10.952|57.0|7490.0||132.125||14.25|
||2016|18284.147|14141.943|2730.842|77.04|131.079|5649.057||739.234|14.679|177.944||11.312|46.0|7490.0||113.04||10.305|
||2017|93385.968|12187.667|1433.074|73.188|133.429|5382.09||650.822|14.634|189.231||12.011|35.0|9723.0|2.0|63.505|0.0|4.2|
||2018|97956.116|15683.623|1331.889|98.868|200.855|6689.575||991.544|22.929|185.027||13.425|0.0|10350.0|2.0|189.405|0.0|4.14|
