|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
||2010|3.0|0.0|30.0|167.0|
||2011|3.0|0.0|30.0|167.0|
||2012|14.0|0.0|195.0|21.0|
||2013|14.0|0.0|201.0|21.0|
||2014|4.0|0.0|264.0|21.0|
||2015|0.0|0.0|350.0|32.0|
||2016|0.0|0.0|408.0|35.0|
||2017|0.0|0.0|458.0|35.0|
||2018|0.0|0.0|511.0|35.0|
||2019|0.0|0.0|529.0|35.0|
||2020|0.0|0.0|537.0|33.0|
||2021|0.0|0.0|559.0|36.0|
|Denizli-20|2004|2.0|3.0|147.0|10.0|
||2005|3.0|3.0|149.0|9.0|
||2006|2.0|1.0|165.0|17.0|
||2007|0.0|1.0|168.0|45.0|
||2008|0.0|0.0|242.0|51.0|
||2009|0.0|0.0|336.0|33.0|
||2010|9.0|0.0|467.0|33.0|
||2011|10.0|6.0|560.4|16.8|
||2012|3.0|6.0|584.6|11.8|
||2013|3.0|6.0|645.6|16.8|
||2014|4.0|6.0|677.0|23.7|
||2015|4.0|6.0|725.8|23.8|
||2016|20.0|6.0|841.8|9.8|
||2017|20.0|6.0|1258.8|21.8|
||2018|7.0|6.0|1385.8|29.8|
||2019|7.0|6.0|1638.8|30.8|
||2020|15.0|6.0|1788.8|27.8|
||2021|15.0|6.0|1842.2|27.8|
|Diyarbakır-21|2004|142.0|10.0|69.0|1.0|
||2005|162.0|9.0|85.0|9.0|
||2006|185.0|13.0|98.0|10.0|
||2007|202.0|13.0|42.0|10.0|
||2008|260.0|13.0|45.0|10.0|
||2009|196.0|0.0|57.0|23.0|
||2010|81.0|0.0|127.0|40.0|
||2011|81.0|0.0|265.0|28.0|
||2012|81.0|30.0|292.0|38.0|
||2013|79.0|30.0|377.0|38.0|
||2014|79.0|30.0|403.0|38.0|
||2015|79.0|30.0|381.0|0.0|
||2016|71.0|20.0|383.0|0.0|
||2017|71.0|10.0|368.0|0.0|
||2018|71.0|10.0|381.0|0.0|
||2019|68.0|20.0|381.0|0.0|
||2020|30.0|20.0|140.0|0.0|
||2021|0.0|20.0|53.0|0.0|
|Düzce-81|2004|0.0|0.0|0.0|43.0|
||2005|0.0|0.0|0.0|50.0|
||2006|0.0|0.0|0.0|47.0|
||2007|3.0|0.0|9.0|40.0|
||2008|0.0|0.0|8.0|35.0|
||2009|3.0|0.0|46.0|0.0|
||2010|6.0|0.0|61.0|0.0|
||2011|5.0|0.0|68.0|0.6|
||2012|3.0|0.0|68.0|38.6|
||2013|3.0|0.0|70.0|38.6|
||2014|3.0|0.0|71.0|24.9|
||2015|3.0|0.0|70.0|24.9|
||2016|3.0|0.0|74.0|24.9|
||2017|0.0|0.0|82.0|25.9|
||2018|0.0|0.0|76.0|26.9|
||2019|0.0|0.0|78.0|27.9|
||2020|0.0|0.0|81.0|28.0|
||2021|0.0|0.0|81.0|31.0|
|Edirne-22|2004|0.0|0.0|86.0|4.0|
||2005|0.0|0.0|78.0|16.0|
||2006|0.0|0.0|82.0|13.0|
||2007|0.0|0.0|56.0|13.0|
||2008|0.0|0.0|64.0|16.0|
||2009|0.0|0.0|20.0|57.0|
||2010|0.0|6.0|19.0|60.0|
||2011|0.0|6.0|20.0|50.0|
||2012|0.0|6.0|20.0|50.0|
||2013|0.0|0.0|20.0|58.0|
||2014|0.0|9.0|20.0|62.0|
||2015|0.0|9.0|19.0|55.0|
||2016|0.0|9.0|19.0|68.0|
||2017|0.0|9.0|19.0|68.0|
||2018|0.0|9.0|19.0|61.0|
